0.46134, 4.16093
0.46134, 4.15201
0.46134, 4.14310
0.46134, 4.13418
0.46134, 4.12527
0.79900, 4.14310
0.79900, 4.13418
0.79900, 4.12527
0.79900, 4.11636
1.13666, 4.13418
1.13666, 4.12527
1.13666, 4.11636
1.13666, 4.10744
1.47431, 4.12527
1.47431, 4.11636
1.47431, 4.10744
1.47431, 4.09853
1.81197, 4.10744
1.81197, 4.09853
2.14963, 4.10744
2.14963, 4.09853
2.48729, 4.10744
2.48729, 4.09853
2.48729, 4.08962
2.82495, 4.10744
2.82495, 4.09853
2.82495, 4.08962
3.16261, 4.10744
3.16261, 4.09853
3.16261, 4.08962
3.50026, 4.09853
3.50026, 4.08962
3.50026, 4.08070
3.83792, 4.08962
3.83792, 4.08070
4.17558, 4.08962
4.17558, 4.08070
4.17558, 4.07179
4.51324, 4.08070
4.51324, 4.07179
4.85090, 4.08070
4.85090, 4.07179
5.18856, 4.08070
5.18856, 4.07179
5.52621, 4.08070
5.52621, 4.07179
5.86387, 4.07179
5.86387, 4.06287
6.20153, 4.07179
6.20153, 4.06287
6.20153, 4.05396
6.53919, 4.06287
6.53919, 4.05396
6.53919, 4.04505
6.87685, 4.05396
6.87685, 4.04505
7.21451, 4.05396
7.21451, 4.04505
7.21451, 4.03613
7.55216, 4.04505
7.55216, 4.03613
7.88982, 4.04505
7.88982, 4.03613
8.22748, 4.04505
8.22748, 4.03613
8.56514, 4.04505
8.56514, 4.03613
8.56514, 4.02722
8.90280, 4.03613
8.90280, 4.02722
9.24046, 4.03613
9.24046, 4.02722
9.57812, 4.03613
9.57812, 4.02722
9.91577, 4.03613
9.91577, 4.02722
9.91577, 4.01830
10.25343, 4.02722
10.25343, 4.01830
10.59109, 4.02722
10.59109, 4.01830
10.59109, 4.00939
10.92875, 4.01830
10.92875, 4.00939
10.92875, 4.00048
11.26641, 4.00939
11.26641, 4.00048
11.60407, 4.00939
11.60407, 4.00048
11.60407, 3.99156
11.94172, 4.00048
11.94172, 3.99156
12.27938, 4.00048
12.27938, 3.99156
12.61704, 4.00048
12.61704, 3.99156
12.61704, 3.98265
12.95470, 3.99156
12.95470, 3.98265
13.29236, 3.99156
13.29236, 3.98265
13.63002, 3.99156
13.63002, 3.98265
13.96767, 3.99156
13.96767, 3.98265
14.30533, 3.99156
14.30533, 3.98265
14.30533, 3.97374
14.64299, 3.98265
14.64299, 3.97374
14.98065, 3.98265
14.98065, 3.97374
15.31831, 3.98265
15.31831, 3.97374
15.31831, 3.96482
15.65597, 3.97374
15.65597, 3.96482
15.65597, 3.95591
15.99362, 3.96482
15.99362, 3.95591
16.33128, 3.96482
16.33128, 3.95591
16.66894, 3.96482
16.66894, 3.95591
16.66894, 3.94699
17.00660, 3.95591
17.00660, 3.94699
17.00660, 3.93808
17.34426, 3.94699
17.34426, 3.93808
17.68192, 3.94699
17.68192, 3.93808
18.01957, 3.94699
18.01957, 3.93808
18.35723, 3.94699
18.35723, 3.93808
18.35723, 3.92917
18.69489, 3.93808
18.69489, 3.92917
19.03255, 3.93808
19.03255, 3.92917
19.03255, 3.92025
19.37021, 3.92917
19.37021, 3.92025
19.70787, 3.92917
19.70787, 3.92025
19.70787, 3.91134
20.04553, 3.92917
20.04553, 3.92025
20.04553, 3.91134
20.38318, 3.92917
20.38318, 3.92025
20.38318, 3.91134
20.72084, 3.92025
20.72084, 3.91134
20.72084, 3.90242
21.05850, 3.92025
21.05850, 3.91134
21.05850, 3.90242
21.39616, 3.91134
21.39616, 3.90242
21.73382, 3.91134
21.73382, 3.90242
22.07148, 3.91134
22.07148, 3.90242
22.07148, 3.89351
22.40913, 3.90242
22.40913, 3.89351
22.74679, 3.90242
22.74679, 3.89351
22.74679, 3.88460
23.08445, 3.89351
23.08445, 3.88460
23.42211, 3.89351
23.42211, 3.88460
23.75977, 3.89351
23.75977, 3.88460
24.09743, 3.89351
24.09743, 3.88460
24.43508, 3.89351
24.43508, 3.88460
24.77274, 3.89351
24.77274, 3.88460
24.77274, 3.87568
25.11040, 3.88460
25.11040, 3.87568
25.11040, 3.86677
25.44806, 3.88460
25.44806, 3.87568
25.44806, 3.86677
25.78572, 3.88460
25.78572, 3.87568
25.78572, 3.86677
26.12338, 3.87568
26.12338, 3.86677
26.46103, 3.87568
26.46103, 3.86677
26.46103, 3.85786
26.79869, 3.86677
26.79869, 3.85786
27.13635, 3.86677
27.13635, 3.85786
27.47401, 3.86677
27.47401, 3.85786
27.81167, 3.86677
27.81167, 3.85786
27.81167, 3.84894
28.14933, 3.85786
28.14933, 3.84894
28.48699, 3.85786
28.48699, 3.84894
28.82464, 3.85786
28.82464, 3.84894
29.16230, 3.85786
29.16230, 3.84894
29.16230, 3.84003
29.49996, 3.84894
29.49996, 3.84003
29.83762, 3.84894
29.83762, 3.84003
30.17528, 3.84894
30.17528, 3.84003
30.51294, 3.84894
30.51294, 3.84003
30.51294, 3.83111
30.85059, 3.84894
30.85059, 3.84003
30.85059, 3.83111
31.18825, 3.84003
31.18825, 3.83111
31.18825, 3.82220
31.52591, 3.84003
31.52591, 3.83111
31.52591, 3.82220
31.86357, 3.84003
31.86357, 3.83111
31.86357, 3.82220
32.20123, 3.83111
32.20123, 3.82220
32.20123, 3.81329
32.53889, 3.82220
32.53889, 3.81329
32.87654, 3.82220
32.87654, 3.81329
33.21420, 3.82220
33.21420, 3.81329
33.55186, 3.82220
33.55186, 3.81329
33.88952, 3.82220
33.88952, 3.81329
34.22718, 3.82220
34.22718, 3.81329
34.22718, 3.80437
34.56484, 3.81329
